ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Meraviglia,MSC Cruises,https://www.vesselfinder.com/vessels/MSC-MERAVIGLIA-IMO-9760512-MMSI-249973000,9HA4455,9760512,249973000,1400,5386
Musica,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Musica,3EFK6,9320087,352003000,1014,3060
Opera,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Opera,H3FV,9250464,357627000,728,2679
Orchestra,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Orchestra,3EJF3,9320099,372497000,1054,3200
Poesia,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Poesia,3EPL4,9387073,355931000,1039,3605
Preziosa,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Preziosa,3FOA6,9595321,371861000,1388,4378
Qing,MSC Cruises,https://en.wikipedia.org/wiki/MS_Melody,AWFI,7902295,419000861,530,1550
Seaside,MSC Cruises,https://www.vesselfinder.com/vessels/MSC-SEASIDE-IMO-9745366-MMSI-248392000,9HA4638,9745366,248392000,1413,4961
Seaview,MSC Cruises,https://www.vesselfinder.com/vessels/MSC-SEAVIEW-IMO-9745378-MMSI-248717000,9HA4777,9745378,248717000,1413,4961
Sinfonia,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Sinfonia,H8XH,9210153,356716000,721,2679
Splendida,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Splendida,3FZI8,9359806,357698000,1370,3929
Klavdiya Yelanskaya ,Murmansk Shipping,https://www.vesselfinder.com/vessels/KLAVDIYA-YELANSKAYA-IMO-7422922-MMSI-273131500,UCKE,7422922,273131500,30,100
Pride of America,NCL America,https://en.wikipedia.org/wiki/Pride_of_America,WNBE,9209221,366994450,927,2630
Lyubov Orlova,Neptune International Shipping,https://en.wikipedia.org/wiki/MV_Lyubov_Orlova,E5U2246,7391434,,70,110
Aegean Paradise,New Century Cruise Line,https://en.wikipedia.org/wiki/Aegean_Paradise,C6UU6,8902333,309877000,250,720
Leisure World,New Century Cruise Line,https://en.wikipedia.org/wiki/MV_Leisure_World,3FNT4,6921828,374139000,250,850
Asuka II,Nippon Yusen Kaisha,https://en.wikipedia.org/wiki/MS_Asuka_II,7JBI,8806204,432545000,545,960
Hebridean Sky,Noble Caledonia,https://en.wikipedia.org/wiki/Hebridean_Sky,C6BG2,8802882,311000253,72,120
Island Sky ,Noble Caledonia,https://www.vesselfinder.com/vessels/ISLAND-SKY-IMO-8802894-MMSI-311743000,C6TQ2,8802894,311743000,70,118
Caledonian Sky,Noble Caledonia Cruises,https://www.vesselfinder.com/vessels/CALEDONIAN-SKY-IMO-8802870-MMSI-311061100,C6Z02,8802870,311061100,75,114
Norway,Norwegian Cruise Line,https://en.wikipedia.org/wiki/SS_Norway,LITA,5119143,,1000,2565
Norwegian Bliss,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Bliss_(cruise_ship),C6DL4,9751509,311000710,1731,4903
Norwegian Breakaway,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Breakaway,C6ZJ3,9606912,311050800,1657,4819
Norwegian Dawn,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Dawn,C6FT7,9195169,311307000,1032,2808
Norwegian Encore,Norwegian Cruise Line,https://www.vesselfinder.com/vessels/NORWEGIAN-ENCORE-IMO-9751511-MMSI-311000879,C6EF4,9751511,311000879,1731,5218
Norwegian Epic,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Epic,C6XP7,9410569,311018500,1724,5074
Norwegian Escape,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Escape,C6BR3,9677076,311000341,1733,5218
Norwegian Gem,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Gem,C6VG8,9355733,309951000,1070,2873
Norwegian Getaway,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Getaway,C6ZJ4,9606924,311050900,1646,4819
Norwegian Jade,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Jade,C6WK7,9304057,308416000,1100,3590
Norwegian Jewel,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Jewel,C6TX6,9304045,311827000,1100,2866
Norwegian Joy,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Joy,C6CX3,9703796,311000599,1731,4620
Norwegian Pearl,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Pearl,C6VG7,9342281,309653000,1154,2873
Norwegian Sky,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Sky,C6PZ8,9128532,308865000,899,2450
Norwegian Spirit,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Spirit,C6TQ6,9141065,311746000,1125,2414
Norwegian Star,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Star,C6FR3,9195157,311082000,1084,2813
Norwegian Sun,Norwegian Cruise Line,https://en.wikipedia.org/wiki/Norwegian_Sun,C6RN3,9218131,311109000,906,2400
Ocean Dream,Ocean Dream Cruise,https://en.wikipedia.org/wiki/Ocean_Dream_(1982_ship),3EWW6,7915096,373297000,550,1422
Ocean Star Pacific,Ocean Star Cruises,https://en.wikipedia.org/wiki/MV_Ocean_Star_Pacific,V4BV3,7027411,341554000,230,1231
Insignia,Oceania Cruises,https://en.wikipedia.org/wiki/MS_Insignia,V7DM2,9156462,538001663,400,824
Marina,Oceania Cruises,https://en.wikipedia.org/wiki/MS_Marina,V7SK2,9438066,538003668,800,1447
Nautica,Oceania Cruises,https://en.wikipedia.org/wiki/MS_Nautica,V7DM4,9200938,538001665,386,824
